"Group","Country","PenaltySkill","Elo.Start","Elo"
"A","Russia",0.725,1685,1685
"A","Uruguay",0.744,1890,1890
"A","Egypt",0.725,1646,1646
"A","Saudi Arabia",0.725,1568,1568
"B","Portugal",0.694,1975,1975
"B","Spain",0.72,2048,2048
"B","Iran",0.725,1793,1793
"B","Morocco",0.725,1711,1711
"C","France",0.739,1984,1984
"C","Peru",0.725,1906,1906
"C","Denmark",0.725,1843,1843
"C","Australia",0.725,1714,1714
"D","Argentina",0.753,1985,1985
"D","Croatia",0.725,1853,1853
"D","Iceland",0.725,1787,1787
"D","Nigeria",0.725,1699,1699
"E","Brazil",0.723,2131,2131
"E","Switzerland",0.604,1879,1879
"E","Costa Rica",0.755,1745,1745
"E","Serbia",0.725,1770,1770
"F","Germany",0.845,2092,2092
"F","Mexico",0.585,1859,1859
"F","Sweden",0.756,1796,1796
"F","South Korea",0.725,1746,1746
"G","Belgium",0.794,1931,1931
"G","England",0.616,1941,1941
"G","Tunisia",0.725,1649,1649
"G","Panama",0.725,1663,1663
"H","Poland",0.725,1831,1831
"H","Colombia",0.725,1935,1935
"H","Senegal",0.725,1747,1747
"H","Japan",0.73,1693,1693
